filename,expected_crop,expected_disease,predicted_crop,predicted_disease,crop_confidence,disease_confidence,crop_correct,disease_correct
Tomato/01_Healthy.jpg,Tomato,Healthy,Tomato,Healthy Plant,89.0%,84.0%,TRUE,TRUE
Tomato/02_Early_Blight.jpg,Tomato,Early Blight,Tomato,Early Blight,99.5%,100.0%,TRUE,TRUE
Tomato/03_Late_Blight.jpg,Tomato,Late Blight,Tomato,Late Blight,100.0%,100.0%,TRUE,TRUE
Tomato/04_Septoria_Leaf_Spot.jpg,Tomato,Septoria Leaf Spot,Tomato,Septoria Leaf Spot,99.8%,84.0%,TRUE,TRUE
Tomato/05_Leaf_Mold.jpg,Tomato,Leaf Mold,Tomato,Leaf Mold,94.8%,99.7%,TRUE,TRUE
Tomato/06_Bacterial_Spot.jpg,Tomato,Bacterial Spot,Tomato,Bacterial Spot,99.9%,99.4%,TRUE,TRUE
Wheat/01_Healthy.jpg,Wheat,Healthy,Wheat,Healthy Plant,100.0%,99.7%,TRUE,TRUE
Wheat/02_Septoria.jpg,Wheat,Septoria,Wheat,Septoria Leaf Blotch,100.0%,93.4%,TRUE,TRUE
Wheat/03_Stripe_Rust.jpg,Wheat,Stripe Rust,Tomato,Early Blight,100.0%,84.0%,FALSE,FALSE
Wheat/04_Leaf_Rust.jpg,Wheat,Leaf Rust,Wheat,Leaf Rust (Brown Rust),100.0%,98.0%,TRUE,TRUE
Wheat/05_Healthy.jpg,Wheat,Healthy,Wheat,Healthy Plant,100.0%,99.7%,TRUE,TRUE
Wheat/06_Septoria.jpg,Wheat,Septoria,Wheat,Septoria Leaf Blotch,100.0%,84.0%,TRUE,TRUE
Rice/01_Healthy.jpg,Rice,Healthy,Rice,Bacterial Leaf Blight,88.0%,84.0%,TRUE,FALSE
Rice/02_Brown_Spot.jpg,Rice,Brown Spot,Rice,Brown Spot,99.8%,95.6%,TRUE,TRUE
Rice/03_Leaf_Blast.jpg,Rice,Leaf Blast,Rice,Leaf Blast,88.0%,90.7%,TRUE,TRUE
Rice/04_Bacterial_Leaf_Blight.jpg,Rice,Bacterial Leaf Blight,Rice,Bacterial Leaf Blight,88.0%,100.0%,TRUE,TRUE
Rice/05_Brown_Spot.jpg,Rice,Brown Spot,Tomato,Bacterial Spot,99.9%,91.2%,FALSE,FALSE
Rice/06_Leaf_Blast.jpg,Rice,Leaf Blast,Rice,Leaf Blast,88.0%,87.6%,TRUE,TRUE
Maize/01_Healthy.jpg,Maize,Healthy,Maize,Healthy Plant,100.0%,84.0%,TRUE,TRUE
Maize/02_Common_Rust.jpg,Maize,Common Rust,Maize,Common Rust,98.7%,84.0%,TRUE,TRUE
Maize/03_Gray_Leaf_Spot.jpg,Maize,Gray Leaf Spot,Maize,Gray Leaf Spot,90.3%,100.0%,TRUE,TRUE
Maize/04_Blight.jpg,Maize,Blight,Maize,Northern Leaf Blight,100.0%,100.0%,TRUE,TRUE
Maize/05_Healthy.jpg,Maize,Healthy,Maize,Healthy Plant,100.0%,84.0%,TRUE,TRUE
Maize/06_Common_Rust.jpg,Maize,Common Rust,Maize,Common Rust,100.0%,84.0%,TRUE,TRUE
Potato/01_Healthy.jpg,Potato,Healthy,Potato,Healthy Plant,99.1%,95.3%,TRUE,TRUE
Potato/02_Early_Blight.jpg,Potato,Early Blight,Potato,Early Blight,99.7%,100.0%,TRUE,TRUE
Potato/03_Late_Blight.jpg,Potato,Late Blight,Potato,Late Blight,98.5%,100.0%,TRUE,TRUE
Potato/04_Healthy.jpg,Potato,Healthy,Potato,Healthy Plant,98.8%,84.0%,TRUE,TRUE
Potato/05_Early_Blight.jpg,Potato,Early Blight,Potato,Early Blight,99.8%,84.0%,TRUE,TRUE
